@relation 'bookkeeperdataset-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1'

@attribute AVG_Churn numeric
@attribute AVG_ChgSet numeric
@attribute WeightedAge numeric
@attribute Buggy {NO,YES}

@data
67,27,4.20438,YES
140.5,32.5,4.868328,NO
47,27,5.305263,YES
0,42,0,NO
63,44.333332,12.324742,YES
63.5,26,12.598425,NO
55.5,26,12.612613,NO
583.6,31,13.022928,YES
2870,12.857142,11.754024,NO
564.3333,18.555555,19.484364,YES
274.33334,9,11.075449,YES
157.5,17,10.539682,YES
182,15.75,8.253968,YES
141,18.666666,9.376322,NO
96,18.5,2.55102,YES
749.5714,15.142858,8.973284,YES
108.25,20.75,9.816495,NO
77,15,11.354838,NO
84,52,12.141176,NO
325.83334,28,10.736942,YES
300,28.4,10.608377,YES
43.666668,31.333334,7.492754,YES
66.666664,5.666666,2.168224,NO
33,25.75,12.255173,YES
33.5,16.5,10.656716,YES
100,16.5,0.509804,YES
0,21,0,NO
130,14.5,0.501916,NO
0,21,0,NO
353,16.5,0.500707,YES
308,31,2.508039,NO
62,50,10.08,NO
60,50,10.082644,NO
321,50,10.07728,NO
1057.25,23.375,11.032281,YES
91,10.666667,10.549451,NO
487.76923,7.538462,11.310508,NO
636.4167,15.166667,9.960094,YES
272,9.25,3.546106,NO
137.2,6.4,5.638381,YES
416.5,27.25,8.445906,NO
0,1,0,NO
333.75,6.25,3.240972,YES
261.6,20.4,6.990277,NO
337.875,6,6.893967,NO
0,6,0,NO
508,9.25,8.308269,YES
137.33333,12.333333,7.385343,YES
228.75,24,8.426276,NO
322,9.25,12.257725,NO
289.83334,10.333333,12.217369,NO
298,20.333334,13.638917,YES
380.57144,18.857143,11.791755,YES
0,23,0,NO
72,20.5,0,NO
378.5,37.75,7.841299,YES
230,41,8.536797,NO
0,8,0,NO
70,23,1.510638,NO
0,18,0,NO
0,18,0,NO
64,50,7.558139,NO
208,50,7.553699,NO
0,27,0,NO
0,28,0,NO
161,22,7.388199,YES
0,28,0,NO
0,28,0,NO
205.75,16.5,1.296743,YES
0,28,0,NO
622.5,18,5.012048,NO
0,28,0,NO
272.5,27,2.605504,NO
0,28,0,NO
0,28,0,NO
322.75,14.75,9.769408,YES
442,16,6.936023,YES
47.5,22,1.547368,NO
0,28,0,NO
0,28,0,NO
0,8,0,NO
223.33333,28.5,4.752577,YES
266.16666,11.833333,6.475734,YES
0,7,0,NO
258.33334,10.666667,6.228792,YES
167,14,5.581603,YES
174.33333,8.333333,3.770554,YES
96,47.5,5.025907,NO
186.33333,12.666667,4.646566,NO
0,16,0,NO
0,16,0,NO
0,1,0,NO
305.33334,16.666666,4.091703,YES
287,16.666666,4.065058,YES
0,26,0,NO
96,14.5,2.051813,YES
0,26,0,NO
430.5,37.25,2.513857,YES
0,17,0,NO
0,17,0,NO
0,17,0,NO
0,17,0,NO
0,17,0,NO
0,17,0,NO
0,17,0,NO
0,17,0,NO
0,17,0,NO
0,17,0,NO
0,17,0,NO
0,17,0,NO
0,17,0,NO
0,17,0,NO
0,17,0,NO
648.25,27,3.51753,NO
0,31,0,NO
0,1,0,NO
97.5,3,0.584615,YES
371.66666,10.333333,2.754733,YES
380.5,12,1.511811,YES
45,12.5,0,NO
102,41,1.004878,NO
646,15.5,0.521137,NO
80,41.5,1.012346,NO
